state,statename,id,ufips,name,type,local,pressure,countyleg,stateleg,localcourts,statecourts,commission,loczoning,council,cntyboard,cntyzoning,envboard,commission_norez,council_norez,cntyboard_norez,envboard_norez,publhlth_norez,dsgnrev_norez,sfulandsupply,mfulandsupply,sfuinfracost,mfuinfracost,sfudensrestr,mfudensrestr,sfuimpact,mfuimpact,sfubudget,mfubudget,sfucouncil,mfucouncil,sfucitizen,mfucitizen,sfuschool,mfuschool,sfulengthzoning,mfulengthzoning,sfulengthpermit,mfulengthpermit,sfulengthdvlp,mfulengthdvlp,sfupermitlimit,mfupermitlimit,sfuconstrlimit,mfuconstrlimit,mfudwelllimit,mfudwellunitlimit,minlotsize,minlotsize_lhalfacre,minlotsize_mhalfacre,minlotsize_oneacre,minlotsize_twoacres,affordable,sfusupply,mfusupply,commsupply,indsupply,lotdevcostincrease,sflotdevcostincrease,time_sfu,time_mfu,timechg_sfu,timechg_mfu,time1_l50sfu,time1_m50sfu,time1_mfu,time2_l50sfu,time2_m50sfu,time2_mfu,submitted,alloc_local,alloc_pressure,alloc_countyleg,alloc_sfubudget,alloc_mfubudget,alloc_sfucouncil,alloc_mfucouncil,alloc_sfucitizen,alloc_mfucitizen,alloc_sfuschool,alloc_mfuschool,alloc_LPPI,alloc_time_sfu,alloc_time_mfu,alloc_time1_l50sfu,alloc_time1_m50sfu,alloc_time1_mfu,alloc_time2_l50sfu,alloc_time2_m50sfu,alloc_time2_mfu,alloc_ADI,approved,officialname,execrating,judicialrating,town_meet,zonvote,zonvote_super,totinitiatives,msaname99,msa99,stateid,msastate,stacode,namene,LPPI,SPII,SCII,LZAI,LPAI,LAI,DRI,OSI,EI,SRI,ADI,WRLURI,weight,weight_metro
Alaska,AK,207320,58660,"Plamer City, AK",City,5,4,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,5,5,5,5,4,4,2,2,1,1,3,3,1,4,1,1,1,2,1,1,1,2,0,0,0,0,0,0,1,1,0,0,0,0,4,4,3,3,50,70,5,3,0,1,4.5,4.5,4.5,4.5,4.5,4.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Sara Jansen,1,2,0,0,0,0,,9999,AK,1,AK,,-.37961856,-2.1578755,2,2,0,0,0,1,1,0,4.3333335,-1.2036239,14.129867,
Alaska,AK,207298,38420,"Kenai City, AK",City,5,1,1,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,,,1,1,1,1,4.5,4.5,4.5,9.5,9.5,9.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Marilyn Kebschull,1,2,0,0,0,0,,9999,AK,1,AK,,-1.2907708,-2.1578755,2,2,0,0,1,0,1,0,5,-1.1884226,11.145347,
Alaska,AK,207268,3000,"Anchorage Municipality, AK",City,3,3,1,1,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,4,3,3,3,,100,1,2,0,0,9.5,9.5,9.5,9.5,9.5,9.5,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,Tom Nelson,1,2,0,0,0,4,"Anchorage, AK MSA",380,AK,1,AK,,4.279274,-2.1578755,2,2,1,0,1,0,0,0,6.8333335,.77042955,4.564671,4.6163425
Alaska,AK,207705,70540,"Sitka City, AK",City and Borough,5,3,1,1,1,2,1,0,0,1,0,0,0,0,0,0,0,0,5,3,5,3,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,3,3,3,3,30,70,1,1,0,0,4.5,4.5,4.5,1.5,1.5,1.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,Wells Williams,1,2,0,0,0,0,,9999,AK,1,AK,,-.73006171,-2.1578755,2,2,0,0,0,0,1,0,2.3333333,-1.8995211,6.0315061,
Alaska,AK,170133,60310,"Petersburg City, AK",City,3,2,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,4,5,5,1,1,1,1,1,1,1,1,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,3,4,5,4,30,30,1,1,0,1,4.5,4.5,4.5,1.5,1.5,1.5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Leo Luczak,1,2,0,0,0,0,,9999,AK,1,AK,,-1.1505935,-2.1578755,2,3,0,0,0,0,0,0,2.3333333,-2.1337023,13.670718,
Alaska,AK,170037,86490,"Yukatat City, AK",Borough,5,5,3,3,1,1,2,2,2,0,0,0,0,0,0,0,0,0,3,2,3,4,5,5,3,3,5,5,5,5,5,5,1,1,1,1,1,1,3,3,0,0,0,0,0,0,1,1,0,0,0,0,3,3,5,5,30,10,2,7,0,0,1.8010764,6.0800366,3.8470013,1.5,1.5,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,Cecilia Ryman,1,2,0,0,0,0,,9999,AK,1,AK,,1.2324201,-2.1578755,2,3,0,0,0,1,1,0,3.3031237,-.88721603,10.518866,
Alaska,AK,207292,33140,"Homer City, AK",City,2,2,1,1,1,1,1,0,1,0,0,0,2,0,0,0,0,0,4,3,5,4,3,2,1,1,1,1,2,1,2,2,1,1,1,1,,,,,0,0,0,0,0,0,1,1,1,1,,0,3,2,4,4,10,50,1,1,1,1,2.7735696,9.7503796,5.8486705,9.5,18.5,9.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,Julie Engebretsen,1,2,0,0,0,0,,9999,AK,1,AK,,-1.3608595,-2.1578755,2,2,1,0,1,0,0,0,6.5414023,-.91376054,9.2316675,
Alabama,AL,184012,45784,"Madison City, AL",City,5,3,1,1,2,2,1,0,1,0,0,0,1,0,0,0,0,0,3,4,2,1,4,1,2,1,2,2,1,2,2,3,2,3,1,1,1,1,1,1,0,0,0,0,0,0,1,,,,,0,3,4,2,1,30,50,1,1,0,0,4.5,4.5,1.5,1.5,1.5,1.5,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,Robert A. Atallo,1,3,0,0,0,0,"Huntsville, AL MSA",3440,AL,3440,AL,,-.37961856,-1.3834146,3,2,1,0,0,1,0,0,2,-1.1434321,6.5680456,4.9673409
Alabama,AL,183996,33448,"Hartselle City, AL",City,5,3,1,2,2,2,0,0,1,0,0,0,1,0,0,0,1,0,5,5,5,5,1,1,5,5,1,3,1,2,2,5,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,,,,,0,3,5,3,3,30,30,3,2,0,1,4.5,4.5,1.5,1.5,1.5,1.5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,Jeremy Griffith,1,3,0,0,0,0,"Decatur, AL MSA",2030,AL,2030,AL,,-.44970718,-1.3834146,3,1,2,0,0,1,1,0,2.5,-.80467761,24.064459,13.851582
Alabama,AL,128568,57048,"Opelika City, AL",CIty,4,3,3,2,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,1,3,3,2,2,1,1,1,1,2,2,3,3,2,2,3,3,3,3,3,3,0,0,0,0,0,0,1,,1,,,0,2,2,2,2,10,10,1,1,0,0,1.5,1.5,1.5,1.5,1.5,1.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,Marty Jarey,1,3,0,0,0,0,"Auburn-Opelika, AL MSA",580,AL,580,AL,,-.3095299,-1.3834146,3,1,1,0,0,0,0,0,1.3333334,-1.5285574,12.544995,8.6175251
