name,state,rank
Alabama,AL,21
Alaska,AK,29
Arizona,AZ,9
Arkansas,AR,11
California,CA,38
Colorado,CO,8
Connecticut,CT,44
Delaware,DE,34
Florida,FL,13
Georgia,GA,10
Hawaii,HI,46
Idaho,ID,6
Illinois,IL,48
Indiana,IN,24
Iowa,IA,22
Kansas,KS,26
Kentucky,KY,39
Louisiana,LA,19
Maine,ME,47
Maryland,MD,20
Massachusetts,MA,25
Michigan,MI,17
Minnesota,MN,41
Mississippi,MS,15
Missouri,MO,7
Montana,MT,36
Nebraska,NE,31
Nevada,NV,18
New Hampshire,NH,28
New Jersey,NJ,42
New Mexico,NM,35
New York,NY,50
North Carolina,NC,23
North Dakota,ND,5
Ohio,OH,37
Oklahoma,OK,14
Oregon,OR,45
Pennsylvania,PA,40
Rhode Island,RI,43
South Carolina,SC,27
South Dakota,SD,2
Tennessee,TN,12
Texas,TX,16
Utah,UT,1
Vermont,VT,49
Virginia,VA,3
Washington,WA,33
West Virginia,WV,30
Wisconsin,WI,32
Wyoming,WY,4
