year,cost_priv,cost_equip,cost_equip_nonres,cost_equip_res,cost_struct,cost_struct_nonres,cost_struct_res,cost_ip,cost_ip_nonres,q_priv,q_equip,q_equip_nonres,q_equip_res,q_struct,q_struct_nonres,q_struct_res,q_ip,q_ip_nonres,cost_hist_priv,dep_hist,cost_hist_struct_res,dep_hist_struct_res
1925,222.9,31.4,31.1,0.3,189.6,93.5,96.1,1.9,1.9,12.05,5.31,5.4,1.37,15.74,19.92,13.3,0.81,0.81,147.9,7,57.4,1
1926,231.1,33.2,32.8,0.3,195.9,96.2,99.7,2,2,12.51,5.51,5.6,1.47,16.33,20.54,13.89,0.85,0.85,157.4,7.5,62.1,1.1
1927,236.4,33.9,33.5,0.3,200.4,98.1,102.3,2.1,2.1,12.91,5.62,5.71,1.56,16.89,21.15,14.42,0.9,0.9,166,7.7,66.4,1.2
1928,248.1,34.5,34.2,0.3,211.3,100.9,110.4,2.3,2.3,13.29,5.75,5.84,1.61,17.4,21.74,14.89,0.97,0.97,174,7.9,70.3,1.2
1929,251.2,34.7,34.3,0.4,214.1,99.9,114.2,2.5,2.5,13.64,5.93,6.03,1.7,17.82,22.39,15.17,1.08,1.08,181.6,8.2,72.9,1.3
1930,239,33,32.7,0.4,203.5,94.7,108.8,2.5,2.5,13.8,5.95,6.05,1.73,18.05,22.88,15.25,1.16,1.16,185.4,8.4,74,1.3
1931,205.1,30,29.7,0.3,172.6,83.7,88.9,2.5,2.5,13.78,5.77,5.85,1.74,18.1,22.98,15.28,1.23,1.23,185.4,8.3,74.5,1.3
1932,187.3,27,26.7,0.3,157.9,78.3,79.6,2.4,2.4,13.6,5.43,5.51,1.68,17.99,22.82,15.19,1.28,1.28,182.2,7.9,74.1,1.3
1933,196.1,26.7,26.4,0.3,167.1,80.2,86.9,2.4,2.4,13.39,5.14,5.21,1.65,17.82,22.57,15.07,1.33,1.33,178.8,7.6,73.5,1.3
1934,198.3,26.7,26.5,0.3,168.9,81.3,87.6,2.6,2.6,13.26,4.97,5.04,1.68,17.69,22.36,15,1.42,1.42,176.8,7.3,73.2,1.3
1935,199.2,26.2,25.9,0.3,170.2,81.3,88.9,2.8,2.8,13.21,4.92,4.99,1.76,17.62,22.2,14.98,1.52,1.52,176.2,7.2,73.2,1.3
1936,220.1,28.2,27.8,0.3,188.8,90.1,98.7,3.1,3.1,13.28,5.04,5.11,1.88,17.64,22.16,15.03,1.65,1.65,177.4,7.3,73.7,1.3
1937,231.4,30.3,29.9,0.4,197.6,92.8,104.9,3.4,3.4,13.41,5.26,5.32,2.02,17.71,22.25,15.09,1.77,1.77,180.6,7.5,74.5,1.3
1938,231.6,30.3,29.9,0.4,197.7,91.3,106.4,3.7,3.7,13.44,5.24,5.3,2.08,17.74,22.21,15.16,1.91,1.91,182,7.6,75.4,1.3
1939,235.3,30.9,30.5,0.4,200.5,90.7,109.7,4,4,13.54,5.28,5.34,2.18,17.86,22.2,15.35,2.04,2.04,184.7,7.7,77.2,1.3
1940,254.1,33.2,32.8,0.4,216.5,96.1,120.4,4.3,4.3,13.74,5.48,5.55,2.32,18.03,22.26,15.59,2.17,2.17,189.3,7.9,79.5,1.3
1941,282.4,38.1,37.6,0.5,239.2,107.8,131.4,5.1,5.1,14,5.78,5.84,2.55,18.25,22.39,15.86,2.4,2.4,196,8.3,82.3,1.4
