year,va_real,labor_input,capital_svcs,nom_output,nom_comp_labor,nom_comp_capital
1948,1344.734,2991.431,368.840,231.020,142.332,76.515
1949,1331.452,2892.222,379.112,223.662,137.766,72.643
1950,1462.425,2948.948,392.599,248.961,150.835,84.106
1951,1557.570,3050.367,412.737,283.367,172.078,96.213
1952,1605.153,3059.453,426.298,295.721,182.378,96.016
1953,1684.155,3116.547,439.379,311.374,195.540,96.666
1954,1662.632,3027.836,449.355,309.284,194.196,96.388
1955,1797.610,3145.033,464.505,339.592,207.704,112.098
1956,1826.571,3197.523,481.355,360.770,224.902,114.334
1957,1857.546,3161.240,495.765,376.745,235.958,118.759
1958,1822.329,3023.232,506.296,375.331,234.460,118.412
1959,1971.845,3149.208,518.342,410.205,253.298,132.631
1960,2008.582,3164.494,532.790,423.783,263.985,132.602
1961,2047.488,3125.265,543.394,435.052,270.485,137.273
1962,2180.788,3210.661,558.951,466.838,288.639,149.913
1963,2281.913,3235.831,578.091,491.700,301.352,161.208
1964,2427.462,3292.864,598.857,527.026,323.692,172.059
1965,2598.820,3399.256,626.422,572.760,348.352,191.677
1966,2774.561,3486.984,661.304,623.193,383.509,205.708
1967,2827.054,3479.617,699.658,654.169,405.614,211.685
1968,2969.715,3535.054,729.366,714.221,443.636,228.923
1969,3060.722,3636.903,763.730,770.830,486.124,238.092
1970,3059.624,3574.406,797.984,800.081,511.559,237.113
1971,3178.086,3546.841,830.352,862.692,542.183,263.556
1972,3385.737,3667.783,863.090,954.152,598.022,297.678
1973,3624.959,3796.767,911.828,1076.716,677.547,335.373
1974,3572.304,3822.060,959.199,1160.016,739.966,349.087
1975,3536.167,3654.768,991.974,1252.061,776.536,403.039
1976,3771.828,3760.300,1021.904,1401.602,873.374,452.236
1977,3984.723,3912.244,1059.704,1578.651,978.209,510.479
1978,4235.043,4114.407,1104.784,1800.599,1122.069,572.882
1979,4376.964,4239.339,1163.129,2007.493,1269.848,620.505
1980,4326.745,4213.248,1223.469,2169.951,1382.080,656.941
1981,4448.574,4275.008,1285.250,2441.513,1519.656,769.600
1982,4317.343,4217.238,1338.902,2529.384,1585.839,806.896
1983,4550.833,4309.878,1378.366,2708.740,1683.407,871.356
1984,4952.424,4568.214,1447.500,3065.994,1877.980,1020.059
1985,5184.850,4685.165,1519.332,3284.079,2022.714,1074.116
1986,5380.743,4737.041,1585.067,3426.667,2146.781,1080.893
1987,5573.518,4839.197,1641.749,3680.338,2288.255,1188.755
1988,5813.109,4987.581,1706.486,3957.108,2482.513,1253.193
1989,6035.471,5151.374,1776.507,4258.034,2636.373,1381.751
1990,6133.186,5147.751,1835.887,4470.922,2794.354,1420.154
1991,6102.008,5085.132,1890.832,4566.569,2845.990,1442.303
1992,6359.907,5098.577,1938.277,4833.863,3024.277,1514.543
1993,6545.745,5284.655,2003.384,5089.797,3164.384,1620.101
1994,6864.107,5532.800,2078.319,5432.272,3334.790,1752.044
1995,7082.540,5700.522,2168.072,5700.418,3489.354,1856.223
1996,7415.949,5844.178,2270.019,6061.990,3717.164,1974.105
1997,7807.829,6045.482,2392.177,6475.054,3985.875,2095.279
1998,8213.608,6191.225,2538.317,6844.540,4289.348,2144.420
1999,8672.607,6325.980,2703.153,7281.101,4556.457,2299.028
2000,9062.154,6416.410,2873.273,7753.271,4921.189,2383.539
2001,9133.228,6306.887,3007.958,7944.166,5058.470,2441.260
2002,9298.191,6189.015,3103.697,8142.333,5089.890,2572.189
2003,9598.929,6189.261,3185.911,8523.920,5221.019,2799.471
2004,10034.261,6278.402,3268.311,9117.100,5527.061,3042.851
2005,10420.289,6386.144,3374.840,9766.756,5790.006,3394.807
2006,10758.296,6547.420,3492.675,10356.035,6149.908,3579.649
2007,10992.945,6623.668,3592.811,10822.764,6422.923,3753.429
2008,10863.457,6537.536,3674.065,10860.923,6422.329,3793.559
2009,10439.369,6139.165,3695.053,10439.369,6139.165,3695.053
2010,10773.644,6130.448,3693.612,10897.712,6256.098,4005.906
2011,11003.633,6287.303,3741.647,11374.079,6531.219,4170.085
2012,11325.179,6457.972,3795.263,11928.172,6866.626,4355.652
2013,11585.147,6576.888,3868.942,12384.218,7043.618,4597.655
2014,11963.912,6739.944,3954.963,12985.044,7401.559,4812.964
2015,12385.141,6914.972,4053.768,13515.276,7815.346,4911.642
2016,12579.056,7037.448,4153.498,13870.125,8039.408,5032.292
