county,fips,temp_avg_jan
"Autauga County, AL",1001,54.68
"Baldwin County, AL",1003,62.009998
"Barbour County, AL",1005,56.630001
"Bibb County, AL",1007,53.549999
"Blount County, AL",1009,49.380001
"Bullock County, AL",1011,55.41
"Butler County, AL",1013,57.900002
"Calhoun County, AL",1015,49.209999
"Chambers County, AL",1017,51.66
"Cherokee County, AL",1019,48.290001
"Chilton County, AL",1021,53.259998
"Choctaw County, AL",1023,57.889999
"Clarke County, AL",1025,59.400002
"Clay County, AL",1027,49.57
"Cleburne County, AL",1029,48.310001
"Coffee County, AL",1031,58.110001
"Colbert County, AL",1033,48.84
"Conecuh County, AL",1035,59.509998
"Coosa County, AL",1037,52.369999
"Covington County, AL",1039,59.66
"Crenshaw County, AL",1041,57.110001
"Cullman County, AL",1043,49.169998
"Dale County, AL",1045,58.189999
"Dallas County, AL",1047,56.5
"DeKalb County, AL",1049,46.369999
"Elmore County, AL",1051,54.189999
"Escambia County, AL",1053,60.849998
"Etowah County, AL",1055,48.759998
"Fayette County, AL",1057,51.27
"Franklin County, AL",1059,48.720001
"Geneva County, AL",1061,59.709999
"Greene County, AL",1063,54.790001
"Hale County, AL",1065,54.919998
"Henry County, AL",1067,57.580002
"Houston County, AL",1069,59.68
"Jackson County, AL",1071,46.939999
"Jefferson County, AL",1073,51.240002
"Lamar County, AL",1075,51.5
"Lauderdale County, AL",1077,48.290001
"Lawrence County, AL",1079,48.490002
"Lee County, AL",1081,53.169998
"Limestone County, AL",1083,47.900002
"Lowndes County, AL",1085,56.599998
"Macon County, AL",1087,54.939999
"Madison County, AL",1089,47.610001
"Marengo County, AL",1091,56.900002
"Marion County, AL",1093,49.759998
"Marshall County, AL",1095,47.84
"Mobile County, AL",1097,62.48
"Monroe County, AL",1099,59.240002
"Montgomery County, AL",1101,55.810001
"Morgan County, AL",1103,48.52
"Perry County, AL",1105,55.009998
"Pickens County, AL",1107,53.330002
"Pike County, AL",1109,56.540001
"Randolph County, AL",1111,50.110001
"Russell County, AL",1113,55.02
"St. Clair County, AL",1115,49.529999
"Shelby County, AL",1117,51.639999
"Sumter County, AL",1119,55.650002
"Talladega County, AL",1121,50.669998
"Tallapoosa County, AL",1123,52.48
"Tuscaloosa County, AL",1125,53.009998
"Walker County, AL",1127,51.34
"Washington County, AL",1129,60.75
"Wilcox County, AL",1131,57.959999
"Winston County, AL",1133,49.400002
"Apache County, AZ",4001,44.77
"Cochise County, AZ",4003,60.400002
"Coconino County, AZ",4005,46.919998
"Gila County, AZ",4007,56.700001
"Graham County, AZ",4009,58.810001
"Greenlee County, AZ",4011,54.68
"La Paz County, AZ",4012,66.629997
"Maricopa County, AZ",4013,66.959999
"Mohave County, AZ",4015,55.849998
"Navajo County, AZ",4017,47.580002
"Pima County, AZ",4019,65.800003
"Pinal County, AZ",4021,65.910004
"Santa Cruz County, AZ",4023,61.860001
"Yavapai County, AZ",4025,55.650002
"Yuma County, AZ",4027,69.129997
"Arkansas County, AR",5001,53.68
"Ashley County, AR",5003,57.32
"Baxter County, AR",5005,49.07
"Benton County, AR",5007,48.18
"Boone County, AR",5009,48.619999
"Bradley County, AR",5011,57.540001
"Calhoun County, AR",5013,58.009998
"Carroll County, AR",5015,47.860001
"Chicot County, AR",5017,56.529999
"Clark County, AR",5019,56.380001
"Clay County, AR",5021,46.919998
"Cleburne County, AR",5023,48.91
"Cleveland County, AR",5025,55.93
"Columbia County, AR",5027,58.400002
"Conway County, AR",5029,51.669998
"Craighead County, AR",5031,48.580002
"Crawford County, AR",5033,50.900002
"Crittenden County, AR",5035,50.349998
"Cross County, AR",5037,50.189999
"Dallas County, AR",5039,56.529999
"Desha County, AR",5041,54.939999
"Drew County, AR",5043,56.150002
"Faulkner County, AR",5045,51.709999
"Franklin County, AR",5047,51.740002
"Fulton County, AR",5049,47.59
"Garland County, AR",5051,53.610001
"Grant County, AR",5053,55.509998
"Greene County, AR",5055,47.529999
"Hempstead County, AR",5057,57.23
"Hot Spring County, AR",5059,55.200001
"Howard County, AR",5061,55.540001
"Independence County, AR",5063,48.950001
"Izard County, AR",5065,48.619999
"Jackson County, AR",5067,49.459999
"Jefferson County, AR",5069,54.490002
"Johnson County, AR",5071,50.470001
"Lafayette County, AR",5073,58.43
"Lawrence County, AR",5075,48.110001
"Lee County, AR",5077,51.82
"Lincoln County, AR",5079,55.18
"Little River County, AR",5081,57.66
"Logan County, AR",5083,52.75
"Lonoke County, AR",5085,52.82
"Madison County, AR",5087,47.299999
"Marion County, AR",5089,49.209999
"Miller County, AR",5091,58.419998
"Mississippi County, AR",5093,48.959999
"Monroe County, AR",5095,52.389999
"Montgomery County, AR",5097,53.080002
"Nevada County, AR",5099,57.529999
"Newton County, AR",5101,47.900002
"Ouachita County, AR",5103,57.869999
"Perry County, AR",5105,52.91
"Phillips County, AR",5107,52.849998
"Pike County, AR",5109,55.209999
"Poinsett County, AR",5111,49.349998
"Polk County, AR",5113,52.310001
"Pope County, AR",5115,50.759998
"Prairie County, AR",5117,52.110001
"Pulaski County, AR",5119,53.200001
"Randolph County, AR",5121,47.099998
"St. Francis County, AR",5123,51.110001
"Saline County, AR",5125,53.25
"Scott County, AR",5127,52.41
"Searcy County, AR",5129,48.740002
"Sebastian County, AR",5131,52.950001
"Sevier County, AR",5133,56.34
"Sharp County, AR",5135,47.48
"Stone County, AR",5137,48.389999
"Union County, AR",5139,58.599998
"Van Buren County, AR",5141,49.48
"Washington County, AR",5143,48.220001
"White County, AR",5145,50.560001
"Woodruff County, AR",5147,51.029999
"Yell County, AR",5149,52.82
"Alameda County, CA",6001,55.900002
"Alpine County, CA",6003,33.060001
"Amador County, CA",6005,52.049999
"Butte County, CA",6007,50.91
"Calaveras County, CA",6009,51.279999
"Colusa County, CA",6011,54.919998
"Contra Costa County, CA",6013,56.619999
"Del Norte County, CA",6015,44.330002
"El Dorado County, CA",6017,44.48
"Fresno County, CA",6019,51.18
"Glenn County, CA",6021,52.959999
"Humboldt County, CA",6023,47.880001
"Imperial County, CA",6025,71.089996
"Inyo County, CA",6027,52.43
"Kern County, CA",6029,58.259998
"Kings County, CA",6031,62.380001
"Lake County, CA",6033,49.599998
"Lassen County, CA",6035,38.060001
"Los Angeles County, CA",6037,59.23
"Madera County, CA",6039,50.93
"Marin County, CA",6041,55.040001
"Mariposa County, CA",6043,48.779999
"Mendocino County, CA",6045,49.709999
"Merced County, CA",6047,59.639999
"Modoc County, CA",6049,38.540001
"Mono County, CA",6051,36.380001
"Monterey County, CA",6053,55.919998
"Napa County, CA",6055,54.650002
"Nevada County, CA",6057,41.84
"Orange County, CA",6059,61.91
"Placer County, CA",6061,45.810001
"Plumas County, CA",6063,38.490002
"Riverside County, CA",6065,64.57
"Sacramento County, CA",6067,57.73
"San Benito County, CA",6069,55.18
"San Bernardino County, CA",6071,61.060001
"San Diego County, CA",6073,62.18
"San Francisco County, CA",6075,52.509998
"San Joaquin County, CA",6077,58.75
"San Luis Obispo County, CA",6079,57.68
"San Mateo County, CA",6081,54.950001
"Santa Barbara County, CA",6083,58.82
"Santa Clara County, CA",6085,55.810001
"Santa Cruz County, CA",6087,55.810001
"Shasta County, CA",6089,46.029999
"Sierra County, CA",6091,39.200001
"Siskiyou County, CA",6093,40.330002
"Solano County, CA",6095,57.220001
"Sonoma County, CA",6097,53.740002
"Stanislaus County, CA",6099,58.59
"Sutter County, CA",6101,57.259998
"Tehama County, CA",6103,49.080002
"Trinity County, CA",6105,42.41
"Tulare County, CA",6107,49.43
"Tuolumne County, CA",6109,42.099998
"Ventura County, CA",6111,58.810001
"Yolo County, CA",6113,56.889999
"Yuba County, CA",6115,53.220001
"Adams County, CO",8001,43.110001
"Alamosa County, CO",8003,32.389999
"Arapahoe County, CO",8005,42.73
"Archuleta County, CO",8007,32
"Baca County, CO",8009,48.119999
"Bent County, CO",8011,46.950001
"Boulder County, CO",8013,37.240002
"Chaffee County, CO",8015,25.51
"Cheyenne County, CO",8017,44.66
"Clear Creek County, CO",8019,23.25
"Conejos County, CO",8021,30.58
"Costilla County, CO",8023,29.98
"Crowley County, CO",8025,46.560001
"Custer County, CO",8027,30.83
"Delta County, CO",8029,34.580002
"Denver County, CO",8031,44.299999
"Dolores County, CO",8033,31.290001
"Douglas County, CO",8035,38.860001
"Eagle County, CO",8037,26.09
"Elbert County, CO",8039,41.529999
"El Paso County, CO",8041,41.220001
"Fremont County, CO",8043,36.23
"Garfield County, CO",8045,29.940001
"Gilpin County, CO",8047,29.280001
"Grand County, CO",8049,25.33
"Gunnison County, CO",8051,26.16
"Hinsdale County, CO",8053,23.84
"Huerfano County, CO",8055,36.830002
"Jackson County, CO",8057,25.77
"Jefferson County, CO",8059,38.09
"Kiowa County, CO",8061,45.630001
"Kit Carson County, CO",8063,43.419998
"Lake County, CO",8065,20.540001
"La Plata County, CO",8067,32.259998
"Larimer County, CO",8069,32.450001
"Las Animas County, CO",8071,44.41
"Lincoln County, CO",8073,43.860001
"Logan County, CO",8075,41.029999
"Mesa County, CO",8077,34.540001
"Mineral County, CO",8079,25.040001
"Moffat County, CO",8081,31.98
"Montezuma County, CO",8083,36.540001
"Montrose County, CO",8085,35.529999
"Morgan County, CO",8087,41.450001
"Otero County, CO",8089,46.790001
"Ouray County, CO",8091,29.75
"Park County, CO",8093,26.99
"Phillips County, CO",8095,41.330002
"Pitkin County, CO",8097,23.91
"Prowers County, CO",8099,46.93
"Pueblo County, CO",8101,45.849998
"Rio Blanco County, CO",8103,31.889999
"Rio Grande County, CO",8105,29.16
"Routt County, CO",8107,27.709999
"Saguache County, CO",8109,27.389999
"San Juan County, CO",8111,22.120001
"San Miguel County, CO",8113,32.540001
"Sedgwick County, CO",8115,41.029999
"Summit County, CO",8117,22.030001
"Teller County, CO",8119,31.34
"Washington County, CO",8121,41.93
"Weld County, CO",8123,41.830002
"Yuma County, CO",8125,42.439999
"Fairfield County, CT",9001,33.169998
"Hartford County, CT",9003,31.870001
"Litchfield County, CT",9005,29.57
"Middlesex County, CT",9007,33.68
"New Haven County, CT",9009,33.259998
"New London County, CT",9011,33.779999
"Tolland County, CT",9013,31.25
"Windham County, CT",9015,31.809999
"Kent County, DE",10001,38.610001
"New Castle County, DE",10003,37.25
"Sussex County, DE",10005,39.959999
"District of Columbia, DC",11001,39.59
"Alachua County, FL",12001,66.57
"Baker County, FL",12003,64.480003
"Bay County, FL",12005,62.450001
"Bradford County, FL",12007,65.610001
"Brevard County, FL",12009,70.669998
"Broward County, FL",12011,74.68
"Calhoun County, FL",12013,62.389999
"Charlotte County, FL",12015,72.32
"Citrus County, FL",12017,68.370003
"Clay County, FL",12019,66.040001
"Collier County, FL",12021,74.849998
"Columbia County, FL",12023,64.459999
"Dade County, FL",12025,75.18
"DeSoto County, FL",12027,72.389999
"Dixie County, FL",12029,65.970001
"Duval County, FL",12031,65.029999
"Escambia County, FL",12033,61.720001
"Flagler County, FL",12035,67.949997
"Franklin County, FL",12037,63.139999
"Gadsden County, FL",12039,61.759998
"Gilchrist County, FL",12041,65.639999
"Glades County, FL",12043,73.760002
"Gulf County, FL",12045,63.919998
"Hamilton County, FL",12047,63.169998
"Hardee County, FL",12049,72.230003
"Hendry County, FL",12051,74.769997
"Hernando County, FL",12053,68.629997
"Highlands County, FL",12055,72.82
"Hillsborough County, FL",12057,71.059998
"Holmes County, FL",12059,60.880001
"Indian River County, FL",12061,72.489998
"Jackson County, FL",12063,61.23
"Jefferson County, FL",12065,62.810001
"Lafayette County, FL",12067,64.529999
"Lake County, FL",12069,69.510002
"Lee County, FL",12071,72.589996
"Leon County, FL",12073,62.810001
"Levy County, FL",12075,66.709999
"Liberty County, FL",12077,63.139999
"Madison County, FL",12079,63.09
"Manatee County, FL",12081,71.519997
"Marion County, FL",12083,68.160004
"Martin County, FL",12085,72.629997
"Monroe County, FL",12087,74.760002
"Nassau County, FL",12089,64.190002
"Okaloosa County, FL",12091,61.720001
"Okeechobee County, FL",12093,72.610001
"Orange County, FL",12095,70.129997
"Osceola County, FL",12097,71.199997
"Palm Beach County, FL",12099,73.650002
"Pasco County, FL",12101,69.639999
"Pinellas County, FL",12103,67.889999
"Polk County, FL",12105,71.220001
"Putnam County, FL",12107,67.470001
"St. Johns County, FL",12109,66.669998
"St. Lucie County, FL",12111,72.150002
"Santa Rosa County, FL",12113,61.68
"Sarasota County, FL",12115,71.550003
"Seminole County, FL",12117,69.57
"Sumter County, FL",12119,69.209999
"Suwannee County, FL",12121,64.190002
"Taylor County, FL",12123,63.560001
"Union County, FL",12125,65.029999
"Volusia County, FL",12127,68.959999
"Wakulla County, FL",12129,63.169998
"Walton County, FL",12131,61.740002
"Washington County, FL",12133,61.689999
"Appling County, GA",13001,58.970001
"Atkinson County, GA",13003,60.029999
"Bacon County, GA",13005,59.669998
"Baker County, GA",13007,59.139999
"Baldwin County, GA",13009,51.84
"Banks County, GA",13011,48.220001
"Barrow County, GA",13013,48.189999
"Bartow County, GA",13015,47.950001
"Ben Hill County, GA",13017,56.900002
"Berrien County, GA",13019,59.470001
"Bibb County, GA",13021,52.380001
"Bleckley County, GA",13023,53.59
"Brantley County, GA",13025,62.310001
"Brooks County, GA",13027,61.580002
"Bryan County, GA",13029,59.189999
"Bulloch County, GA",13031,56.43
"Burke County, GA",13033,53.450001
"Butts County, GA",13035,49.75
"Calhoun County, GA",13037,57.869999
"Camden County, GA",13039,63.509998
"Candler County, GA",13043,56.43
"Carroll County, GA",13045,48.669998
"Catoosa County, GA",13047,47.810001
"Charlton County, GA",13049,63.470001
"Chatham County, GA",13051,60.200001
"Chattahoochee County, GA",13053,54.48
"Chattooga County, GA",13055,47.740002
"Cherokee County, GA",13057,47.400002
"Clarke County, GA",13059,49.049999
"Clay County, GA",13061,57.68
"Clayton County, GA",13063,48.75
"Clinch County, GA",13065,62.150002
"Cobb County, GA",13067,47.84
"Coffee County, GA",13069,58.799999
"Colquitt County, GA",13071,59.52
"Columbia County, GA",13073,51.18
"Cook County, GA",13075,60.009998
"Coweta County, GA",13077,49.650002
"Crawford County, GA",13079,52.450001
"Crisp County, GA",13081,55.84
"Dade County, GA",13083,46.32
"Dawson County, GA",13085,45.459999
"Decatur County, GA",13087,60.68
"DeKalb County, GA",13089,48.060001
"Dodge County, GA",13091,55.389999
"Dooly County, GA",13093,55.18
"Dougherty County, GA",13095,57.869999
"Douglas County, GA",13097,48.52
"Early County, GA",13099,59.029999
"Echols County, GA",13101,62.52
"Effingham County, GA",13103,57.869999
"Elbert County, GA",13105,49.380001
"Emanuel County, GA",13107,54.759998
"Evans County, GA",13109,57.59
"Fannin County, GA",13111,43.720001
"Fayette County, GA",13113,49.389999
"Floyd County, GA",13115,48.540001
"Forsyth County, GA",13117,47.110001
"Franklin County, GA",13119,48.540001
"Fulton County, GA",13121,48.209999
"Gilmer County, GA",13123,44.759998
"Glascock County, GA",13125,51.369999
"Glynn County, GA",13127,62.209999
"Gordon County, GA",13129,48.200001
"Grady County, GA",13131,60.790001
"Greene County, GA",13133,50.07
"Gwinnett County, GA",13135,47.779999
"Habersham County, GA",13137,46.049999
"Hall County, GA",13139,47.330002
"Hancock County, GA",13141,51.209999
"Haralson County, GA",13143,47.720001
"Harris County, GA",13145,51.630001
"Hart County, GA",13147,48.619999
"Heard County, GA",13149,50.43
"Henry County, GA",13151,49.130001
"Houston County, GA",13153,53.650002
"Irwin County, GA",13155,57.799999
"Jackson County, GA",13157,48.470001
"Jasper County, GA",13159,50.48
"Jeff Davis County, GA",13161,57.849998
"Jefferson County, GA",13163,52.830002
"Jenkins County, GA",13165,54.73
"Johnson County, GA",13167,53.360001
"Jones County, GA",13169,51.610001
