year,cbr,tfr
1909,29.2,
1910,29.2,
1911,29.1,
1912,29,
1913,28.8,
1914,29.3,
1915,28.9,
1916,28.5,
1917,27.9,
1918,27.6,
1919,25.3,
1920,26.9,
1921,27.3,
1922,25.4,
1923,25.2,
1924,25.1,
1925,24.1,
1926,23.1,
1927,22.7,
1928,21.5,
1929,20.5,
1930,20.6,
1931,19.5,
1932,18.7,
1933,17.6,
1934,18.1,
1935,17.9,
1936,17.6,
1937,17.9,
1938,18.4,
1939,18,
1940,18.6,
1941,19.5,
1942,21.5,
1943,22.1,
1944,20.5,
1945,19.7,
1946,23.6,
1947,26.1,
1948,24,
1949,23.6,
1950,23,3.052
1951,23.9,3.13
1952,24.1,3.272
1953,24,3.389
1954,24.2,3.479
1955,23.8,3.544
1956,24,3.582
1957,24,3.595
1958,23.3,3.583
1959,22.9,3.545
1960,22.7,3.483
1961,22.2,3.399
1962,21.4,3.294
1963,20.7,3.173
1964,20,3.041
1965,18.3,2.902
1966,17.4,2.762
1967,16.8,2.623
1968,16.6,2.49
1969,16.9,2.366
1970,17.4,2.253
1971,16.2,2.153
1972,14.6,2.063
1973,13.9,1.984
1974,14,1.915
1975,13.6,1.858
1976,13.8,1.814
1977,14.1,1.783
1978,14,1.764
1979,14.5,1.757
1980,14.9,1.759
1981,14.8,1.769
1982,14.9,1.786
1983,14.6,1.806
1984,14.8,1.829
1985,15,1.853
1986,14.8,1.878
1987,14.9,1.904
1988,15,1.932
1989,15.4,1.958
1990,15.8,1.983
1991,15.4,2.002
1992,15,2.015
1993,14.7,2.021
1994,15.2,2.022
1995,14.8,2.019
1996,14.7,2.013
1997,14.5,2.009
1998,14.6,2.008
1999,14.5,2.011
2000,14.4,2.017
2001,14.1,2.027
2002,14,2.039
2003,14.1,2.05
2004,14,2.058
2005,14,2.062
2006,14.28550559,2.057
2007,14.31207143,2.044
2008,13.95546989,2.023
2009,,1.995
2010,,1.963
2011,,1.932
2012,,1.905
2013,,1.884
2014,,1.872
2015,,1.868
