year,pre_50,pre_40,pre_10,pre_1,pre_top,age_2045,age_4565,age65,post_50,post_40,post_10,post_1,pre_50_cps,pre_1_copy,pre_1_cap,pre_1_cap_equity,pre_1_cap_int,pre_1_cap_rent,pre_1_cap_mix,pre_1_cap_soc,pre_1_labor,pre_1_labor_wage,pre_1_labor_mix,pre_1_labor_soc
1913,,,.42309919,.18835218,,,,,,,.41321269,.17549498,,.18835218,.11475825,.047507331,.024038576,.014991082,.028220903,3.5004101e-07,.073593944,.017532689,.056006581,.000054671498
1914,,,.429537,.19327316,,,,,,,.41743839,.1778183,,.19327316,.11890477,.046924286,.026589369,.015925549,.029464431,1.1300700e-06,.074368395,.017117625,.05718888,.000061887702
1915,,,.42188209,.1870257,,,,,,,.40936783,.17039528,,.1870257,.11701544,.048775449,.024981948,.015610571,.027645677,1.7854900e-06,.07001026,.016473284,.053472862,.000064117397
1916,,,.44388375,.20635863,,,,,,,.43442413,.19294153,,.20635863,.13528416,.067113288,.025076518,.016492249,.026599986,2.1121200e-06,.071074478,.019046193,.051961027,.000067254798
1917,,,.44901988,.20136264,,,,,,,.44160968,.17603694,,.20136264,.14207794,.080431499,.030590829,.012616238,.018436829,2.5415200e-06,.059284694,.023609405,.035604373,.0000709163
1918,,,.43637946,.18951894,,,,,,,.41276917,.14590013,,.18951894,.12933907,.070117034,.029002329,.011241526,.018975383,2.8055899e-06,.060179859,.024950316,.035154294,.0000752489
1919,,,.45434684,.21007459,,,,,,,.43344691,.18596716,,.21007459,.14262912,.074431472,.034350693,.011164373,.022679156,3.4255099e-06,.067445472,.024432849,.042935308,.000077311102
1920,,,.43438581,.18402602,,,,,,,.41696891,.16613926,,.18402602,.1219819,.064874955,.027438704,.010357501,.019307118,3.6301899e-06,.062044118,.02493073,.037033714,.0000796729
1921,,,.46528068,.18099041,,,,,,,.44838187,.16103548,,.18099041,.11371272,.049536034,.03274633,.012634469,.018789791,6.0946400e-06,.067277692,.031524163,.035656326,.000097202901
1922,,,.45536581,.17626613,,,,,,,.43800667,.15668112,,.17626613,.1096064,.037019789,.036581874,.017327551,.018670738,6.4462101e-06,.066659734,.030483302,.036076263,.000100169
1923,,,.43102783,.16885258,,,,,,,.4105655,.1508649,,.16885258,.11451237,.062149946,.027085882,.011902166,.01336587,8.5043803e-06,.05434021,.029109234,.025124151,.000106824
1924,,,.4526293,.17605549,,,,,,,.43196937,.15931036,,.17605549,.1145302,.057286631,.02943131,.012357698,.015438981,.0000155794,.061525293,.031954151,.029437535,.00013360901
1925,,,.4708364,.19947571,,,,,,,.44838062,.18065715,,.19947571,.13273352,.067679293,.032934755,.013758697,.018338323,.0000224541,.066742182,.031776574,.034814656,.000150956
1926,,,.47441211,.21214558,,,,,,,.45171475,.19365916,,.21214558,.14787999,.085511245,.032834701,.012614731,.016891172,.000028145299,.064265586,.032247003,.031854723,.000163855
1927,,,.46759591,.20328428,,,,,,,.44503334,.18434395,,.20328428,.13484091,.068800874,.034584962,.014021617,.017397052,.0000364076,.068443365,.034469929,.033787452,.00018597901
1928,,,.47957218,.21389152,,,,,,,.45718172,.19266722,,.21389152,.14115237,.070697062,.036749389,.015029599,.01863149,.000044827801,.072739162,.03592886,.036606055,.000204244
1929,,,.46679828,.21163063,,,,,,,.44103879,.18765262,,.21163063,.14595135,.077928357,.036818795,.014134182,.017023765,.0000462471,.065679274,.031939622,.03352778,.000211875
1930,,,.45342487,.18087777,,,,,,,.4241429,.15516934,,.18087777,.1232661,.063582167,.03262952,.014351286,.012644214,.000058912199,.057611678,.032728944,.024633458,.000249278
1931,,,.44995975,.15032631,,,,,,,.4079673,.11838064,,.15032631,.090842791,.028079465,.035682436,.015015549,.011966659,.000098679302,.059483532,.036250796,.022882845,.00034989
1932,,,.46654305,.1391274,,,,,,,.41954768,.10375893,,.1391274,.072320767,-.0075991899,.047976706,.019731769,.012014253,.000197225,.066806637,.044881586,.021403691,.00052135601
1933,,,.46872279,.15156594,,,,,,,.42352441,.11538099,,.15156594,.07723552,-.0061697611,.049678564,.018706685,.014814312,.000205716,.074330419,.046839967,.026925722,.000564733
1934,,,.48026535,.171517,,,,,,,.44996655,.14243752,,.171517,.099261433,.028642759,.042274036,.013839775,.01429287,.000211993,.072255574,.044318385,.027444558,.00049263198
1935,,,.47062033,.17361283,,,,,,,.44092932,.14295219,,.17361283,.10131567,.038247671,.035334967,.011977457,.015560641,.000194935,.072297156,.040970631,.030847495,.000479029
1936,,,.47739324,.1924372,,,,,,,.44326252,.157704,,.1924372,.11841261,.060200378,.029863628,.011176214,.017017111,.000155278,.074024595,.041155599,.032388743,.000480252
1937,,,.46518514,.19041948,,,,,,,.43988886,.16146874,,.19041948,.12228136,.061752345,.03425993,.010451828,.015720213,.000097038297,.068138123,.037331522,.030276269,.00053033198
1938,,,.46462107,.1719334,,,,,,,.43710351,.14022559,,.1719334,.10322859,.042842191,.032879442,.012507675,.01486777,.000131518,.068704806,.038880941,.029004632,.000819234
1939,,,.47867984,.18481137,,,,,,,.45554352,.1578535,,.18481137,.11466783,.053646442,.032811236,.011934314,.016130704,.000145137,.070143528,.037978847,.031370185,.00079449703
1940,,,.47734612,.19305442,,,,,,,.4565987,.16820532,,.19305442,.12120183,.06921766,.025317403,.0090658888,.017425558,.000175322,.071852595,.038895171,.032107797,.00084962603
1941,,,.45788127,.19486651,,,,,,,.43906185,.16717064,,.19486651,.12049552,.065811157,.024361648,.0058844141,.024241457,.000196844,.07437098,.034124848,.039455723,.00079040899
1942,,,.41066918,.18493827,,,,,,,.39537272,.14375816,,.18493827,.11767109,.063364401,.023251787,.0045464509,.026346367,.00016208499,.067267172,.024469199,.04220102,.00059695402
1943,,,.38057151,.17183052,,,,,,,.35956797,.12498945,,.17183052,.1120693,.058131792,.022529425,.003748718,.027564071,.000095292497,.059761222,.015287411,.044056684,.00041712899
1944,,,.36195642,.1483638,,,,,,,.3601006,.10566372,,.1483638,.099800855,.055241998,.021202883,.0033594309,.019931965,.000064579697,.048562936,.015039245,.033146095,.000377594
1945,,,.35820144,.14279793,,,,,,,.33823019,.095036566,,.14279793,.089407608,.044420626,.020485356,.003459892,.020975884,.000065848399,.053390328,.015873125,.037075214,.00044198701
1946,,,.37205088,.14156552,,,,,,,.34183612,.10565308,,.14156552,.080666915,.038967073,.016107989,.0037080811,.021799039,.000084728897,.060898606,.019726492,.040430423,.000741689
1947,,,.37077612,.14574717,,,,,,,.34367532,.11462546,,.14574717,.092596047,.051716551,.017392984,.003639021,.01976856,.000078933299,.05315112,.019168902,.033335757,.00064645999
1948,,,.38908461,.15765946,,,,,,,.36539611,.12958665,,.15765946,.10369717,.064073958,.016290694,.003668427,.019576699,.000087394903,.05396229,.020465408,.032865949,.000630931
1949,,,.38358057,.15173389,,,,,,,.36168683,.12537523,,.15173389,.10101194,.065596074,.0147761,.0039369371,.016588405,.000114427,.050721947,.022041379,.027891204,.00078936398
1950,,,.38987795,.15848027,,,,,,,.36238649,.12735412,,.15848027,.10644431,.062605232,.019609012,.0041635432,.019936411,.00013010899,.052035969,.02132706,.02989235,.00081656099
1951,,,.3770673,.14943209,,,,,,,.3511087,.11966191,,.14943209,.099880941,.057563253,.018076427,.0038727389,.020242106,.000126414,.049551152,.01918483,.02955859,.00080773002
1952,,,.36505687,.14196336,,,,,,,.33824062,.11384525,,.14196336,.095788643,.056800742,.016369419,.0040624682,.018416397,.00013961599,.046174716,.017210528,.028124819,.00083936902
1953,,,.35491353,.13259633,,,,,,,.32844386,.10620565,,.13259633,.090098381,.053407993,.016011747,.0040890961,.016399616,.00018992899,.042497944,.017052323,.024488701,.00095691998
1954,,,.35901067,.13487352,,,,,,,.33007908,.10748158,,.13487352,.091874614,.055019911,.015711725,.0052890331,.015625758,.00022818201,.04299891,.017326862,.02451396,.00115809
1955,,,.36535123,.14128703,,,,,,,.33362126,.11419364,,.14128703,.10057349,.0652477,.015688878,.004046788,.015325578,.000264542,.040713537,.0160747,.02341141,.001227429
1956,,,.35759184,.13388507,,,,,,,.32288662,.10642984,,.13388507,.094435453,.060601536,.014892348,.0046535982,.014005008,.00028296001,.039449625,.01627901,.021867421,.001303192
1957,,,.35761988,.13166288,,,,,,,.3191976,.10502739,,.13166288,.09132047,.057976447,.01405903,.004764725,.014214017,.000306248,.040342413,.016426966,.022456339,.001459107
1958,,,.35703808,.12471967,,,,,,,.31759316,.097004749,,.12471967,.084279187,.051491488,.013714989,.0051863492,.013502856,.00038350801,.040440481,.016553327,.02218291,.0017042439
1959,,,.36163482,.13066155,,,,,,,.32048485,.10370451,,.13066155,.091871604,.059593212,.013054642,.0052377032,.013573474,.00041257299,.038789939,.015767964,.021258876,.0017630979
1960,,,.35631597,.12591518,,,,,,,.31368428,.10015658,,.12591518,.089344196,.058340281,.012291752,.006167382,.012109363,.00043541499,.036571,.015598486,.019097265,.0018752459
1961,,,.35832551,.12453469,,,,,,,.31313133,.096557327,,.12453469,.087881818,.057822499,.011652356,.0059452448,.01195266,.00050905801,.036652874,.015231601,.019385248,.002036026
1962,.19504523,.44403329,.36092147,.12573907,,,,,.22503233,.45478922,.32017845,.10066855,,.12573907,.090269648,.061510272,.01064331,.0061299708,.011538277,.00044781499,.035471257,.015172025,.018574849,.001724383
1963,.1910207,.44360852,.36536902,.12746224,,,,,.21977571,.45529398,.32493028,.10268304,.2367653,.12746224,.091815501,.064287975,.0097297626,.0056949868,.011451572,.00065120897,.03564674,.014664484,.018496934,.0024853209
1964,.18699616,.44318375,.36982009,.12919538,,,,,.21450013,.45581254,.32968733,.10469752,.23510569,.12919538,.093416929,.067055784,.0088210376,.0052624801,.011365968,.00091165298,.035766661,.014160539,.01842026,.003185861
1965,.19129837,.44235367,.36634246,.12778437,,,,,.21931338,.45395878,.32672784,.10321642,.22199889,.12778437,.092059188,.065819748,.0089453245,.0049728472,.011335519,.00098575104,.035725188,.014225385,.018328441,.0031713611
1966,.19560057,.44152358,.36287585,.12638158,,,,,.22409946,.45212701,.32377353,.10173679,.23135065,.12638158,.090594605,.064586252,.0090685328,.0046847719,.011304239,.00095080398,.035790555,.014288312,.018235734,.003266512
1967,.2044355,.43963593,.35592857,.12336728,,,,,.23814338,.44987279,.31198382,.09605623,.23644878,.12336728,.086579628,.060294248,.0090211416,.0048011509,.011639113,.00082397502,.036781389,.015133634,.018812874,.002834881
1968,.20690548,.44125178,.35184273,.12171453,,,,,.24396516,.45088023,.30515462,.092759304,.23960237,.12171453,.08428774,.057643317,.0092317937,.0047444371,.011771904,.00089628802,.037409391,.01546043,.01894282,.0030061421
1969,.21019495,.44660899,.34319606,.11497824,,,,,.24991444,.45301196,.2970736,.087514244,.23710358,.11497824,.077926442,.051470872,.0095016211,.004635002,.011573577,.00074536703,.037039906,.015815314,.018671745,.0025528481
1970,.20839185,.45071691,.34089124,.11042818,,,,,.252352,.45269603,.29495198,.084887356,.23520806,.11042818,.073403649,.045787126,.01028151,.0047868271,.011887691,.000660497,.037020676,.015504963,.019311771,.002203943
