fips,fips_num,state,county_name,county_lsad,note,cbsa_2003_code,cbsa_2003_title,cbsa_2003_lsad,metdiv_2003,metdiv_2003_title,csa_2003_code,csa_2003_title,cmsa_1999_code,cmsa_1999_code_num,cmsa_1999_title,cmsa_1999_lsad,pmsa_1999_code,pmsa_1999_code_num,pmsa_1999_title
01001,1001,AL,Autauga,County,,33860,"Montgomery, AL",Metro Area,,,,,5240,5240,"Montgomery, AL",MSA,,,
01003,1003,AL,Baldwin,County,,19300,"Daphne-Fairhope, AL",Micro Area,,,380,"Mobile-Daphne-Fairhope, AL",5160,5160,"Mobile, AL",MSA,,,
01005,1005,AL,Barbour,County,,,,,,,,,,,,,,,
01007,1007,AL,Bibb,County,,13820,"Birmingham-Hoover, AL",Metro Area,,,142,"Birmingham-Hoover-Cullman, AL",,,,,,,
01009,1009,AL,Blount,County,,13820,"Birmingham-Hoover, AL",Metro Area,,,142,"Birmingham-Hoover-Cullman, AL",1000,1000,"Birmingham, AL",MSA,,,
01011,1011,AL,Bullock,County,,,,,,,,,,,,,,,
01013,1013,AL,Butler,County,,,,,,,,,,,,,,,
01015,1015,AL,Calhoun,County,,11500,"Anniston-Oxford, AL",Metro Area,,,,,0450,450,"Anniston, AL",MSA,,,
01017,1017,AL,Chambers,County,,46740,"Valley, AL",Micro Area,,,122,"Atlanta-Sandy Springs-Gainesville, GA",,,,,,,
01019,1019,AL,Cherokee,County,,,,,,,,,,,,,,,
01021,1021,AL,Chilton,County,,13820,"Birmingham-Hoover, AL",Metro Area,,,142,"Birmingham-Hoover-Cullman, AL",,,,,,,
01023,1023,AL,Choctaw,County,,,,,,,,,,,,,,,
01025,1025,AL,Clarke,County,,,,,,,,,,,,,,,
01027,1027,AL,Clay,County,,,,,,,,,,,,,,,
01029,1029,AL,Cleburne,County,,,,,,,,,,,,,,,
01031,1031,AL,Coffee,County,,21460,"Enterprise-Ozark, AL",Micro Area,,,222,"Dothan-Enterprise-Ozark, AL",,,,,,,
01033,1033,AL,Colbert,County,,22460,"Florence, AL",Metro Area,,,,,2650,2650,"Florence, AL",MSA,,,
01035,1035,AL,Conecuh,County,,,,,,,,,,,,,,,
01037,1037,AL,Coosa,County,,,,,,,,,,,,,,,
01039,1039,AL,Covington,County,,,,,,,,,,,,,,,
01041,1041,AL,Crenshaw,County,,,,,,,,,,,,,,,
01043,1043,AL,Cullman,County,,18980,"Cullman, AL",Micro Area,,,142,"Birmingham-Hoover-Cullman, AL",,,,,,,
01045,1045,AL,Dale,County,,21460,"Enterprise-Ozark, AL",Micro Area,,,222,"Dothan-Enterprise-Ozark, AL",2180,2180,"Dothan, AL",MSA,,,
01047,1047,AL,Dallas,County,,42820,"Selma, AL",Micro Area,,,,,,,,,,,
01049,1049,AL,DeKalb,County,,,,,,,,,,,,,,,
01051,1051,AL,Elmore,County,,33860,"Montgomery, AL",Metro Area,,,,,5240,5240,"Montgomery, AL",MSA,,,
